"Scenario","Date","Phase","PnL","ReturnPct","Trades","PeakPnL","TroughPnL","Runtime"
"Gate V=1.5E-05 DZ=0.02","TOTAL","base","-163.89","","16","","",""
"Gate V=1.5E-05 DZ=0.03","20260211","base","-66.56","-0.67","7","62.66","69.40","6"
"Gate V=1.5E-05 DZ=0.03","20260213","base","-97.33","-0.97","9","101.56","97.33","6"
"Gate V=1.5E-05 DZ=0.03","TOTAL","base","-163.89","","16","","",""
"Gate V=1.5E-05 DZ=0.05","20260211","base","-66.56","-0.67","7","62.66","69.40","6"
"Gate V=1.5E-05 DZ=0.05","20260213","base","-97.33","-0.97","9","101.56","97.33","7"
"Gate V=1.5E-05 DZ=0.05","TOTAL","base","-163.89","","16","","",""
"Gate V=1.5E-05 DZ=0.08","20260211","base","-66.56","-0.67","7","62.66","69.40","6"
"Gate V=1.5E-05 DZ=0.08","20260213","base","-95.97","-0.96","9","101.56","95.97","8"
"Gate V=1.5E-05 DZ=0.08","TOTAL","base","-162.53","","16","","",""
"Gate V=1.5E-05 DZ=0.12","20260211","base","-73.66","-0.74","7","62.66","76.50","6"
"Gate V=1.5E-05 DZ=0.12","20260213","base","-98.69","-0.99","9","101.56","98.69","6"
"Gate V=1.5E-05 DZ=0.12","TOTAL","base","-172.35","","16","","",""
