"Scenario","Date","PnL","Trades","SpreadCost","SlipCost","PeakPnL","TroughPnL","Runtime"
"MinChop=0.05","20260220","189.91","6","12.03","20.94","197.99","22.66","12"
"MinChop=0.05","TOTAL","547.62","33","","","","",""
"SlopeWin=10","20260211","170.60","6","12.04","15.31","180.75","30.87","12"
"SlopeWin=10","20260212","-251.10","39","42.97","87.91","142.16","283.10","8"
"SlopeWin=10","20260220","189.00","6","12.07","21.57","199.15","22.66","11"
"SlopeWin=10","TOTAL","108.5","51","","","","",""
"SlopeWin=15","20260211","169.23","6","12.04","12.58","180.83","30.87","12"
"SlopeWin=15","20260212","-208.89","39","43.03","86.46","142.16","241.05","14"
"SlopeWin=15","20260220","180.87","6","12.07","21.90","191.02","22.66","12"
"SlopeWin=15","TOTAL","141.21","51","","","","",""
"SlopeWin=20","20260211","180.91","6","12.04","12.69","192.51","30.87","12"
"SlopeWin=20","20260212","176.80","21","25.44","46.02","222.56","55.48","11"
"SlopeWin=20","20260220","189.91","6","12.03","21.21","197.99","22.66","12"
"SlopeWin=20","TOTAL","547.62","33","","","","",""
"SlopeWin=25","20260211","166.73","4","8.02","7.38","178.41","30.87","14"
"SlopeWin=25","20260212","175.25","21","25.42","46.38","221.01","56.90","11"
"SlopeWin=25","20260220","181.88","6","12.04","21.44","189.96","22.66","9"
"SlopeWin=25","TOTAL","523.86","31","","","","",""
"SlopeWin=30","20260211","166.73","4","8.02","7.38","178.41","30.87","12"
"SlopeWin=30","20260212","173.83","21","25.42","46.45","219.59","58.32","11"
"SlopeWin=30","20260220","173.72","6","12.04","21.08","181.80","22.66","12"
"SlopeWin=30","TOTAL","514.28","31","","","","",""
"SlopeWin=40","20260211","166.73","4","8.02","7.38","178.41","30.87","9"
"SlopeWin=40","20260212","172.39","21","25.42","46.96","218.15","63.12","11"
"SlopeWin=40","20260220","-684.80","39","43.63","102.71","153.96","716.08","11"
"SlopeWin=40","TOTAL","-345.68","64","","","","",""
"EntryMult=0.5","20260211","-694.29","51","56.76","118.17","30.30","717.56","14"
"EntryMult=0.5","20260212","-579.76","49","53.77","113.21","98.60","610.72","9"
"EntryMult=0.5","20260220","155.19","10","22.01","31.35","175.49","16.48","11"
"EntryMult=0.5","TOTAL","-1118.86","110","","","","",""
"EntryMult=0.75","20260211","-597.33","45","51.35","104.97","30.30","617.24","13"
"EntryMult=0.75","20260212","176.80","21","25.44","46.02","222.56","55.48","12"
"EntryMult=0.75","20260220","149.04","10","20.01","30.23","175.43","22.66","13"
"EntryMult=0.75","TOTAL","-271.49","76","","","","",""
"EntryMult=1","20260211","-460.70","37","43.84","85.45","31.69","489.98","10"
"EntryMult=1","20260212","176.80","21","25.44","46.02","222.56","55.48","13"
"EntryMult=1","20260220","169.86","8","16.01","25.56","182.04","22.66","14"
"EntryMult=1","TOTAL","-114.04","66","","","","",""
"EntryMult=1.25","20260211","-373.12","33","38.35","71.70","115.17","397.17","11"
"EntryMult=1.25","20260212","176.80","21","25.44","46.02","222.56","55.48","9"
"EntryMult=1.25","20260220","187.24","8","16.00","21.57","195.32","22.66","14"
"EntryMult=1.25","TOTAL","-9.08","62","","","","",""
"EntryMult=1.5","20260211","180.91","6","12.04","12.52","192.51","30.87","12"
"EntryMult=1.5","20260212","176.80","21","25.44","46.02","222.56","55.48","14"
"EntryMult=1.5","20260220","165.96","6","12.04","22.87","186.26","22.66","10"
"EntryMult=1.5","TOTAL","523.67","33","","","","",""
"EntryMult=2","20260211","180.91","6","12.04","12.57","192.51","30.87","12"
"EntryMult=2","20260212","176.80","21","25.44","46.02","222.56","55.48","11"
"EntryMult=2","20260220","189.91","6","12.03","20.94","197.99","22.66","11"
"EntryMult=2","TOTAL","547.62","33","","","","",""
"ConfirmTicks=0","20260211","180.91","6","12.04","12.55","192.51","30.87","10"
"ConfirmTicks=0","20260212","176.80","21","25.44","46.02","222.56","55.48","8"
"ConfirmTicks=0","20260220","189.91","6","12.03","20.96","197.99","22.66","13"
"ConfirmTicks=0","TOTAL","547.62","33","","","","",""
"ConfirmTicks=1","20260211","180.91","6","12.04","12.54","192.51","30.87","13"
"ConfirmTicks=1","20260212","176.80","21","25.44","46.02","222.56","55.48","14"
"ConfirmTicks=1","20260220","189.91","6","12.03","20.96","197.99","22.66","12"
"ConfirmTicks=1","TOTAL","547.62","33","","","","",""
"ConfirmTicks=2","20260211","180.91","6","12.04","12.52","192.51","30.87","11"
"ConfirmTicks=2","20260212","176.80","21","25.44","46.02","222.56","55.48","11"
"ConfirmTicks=2","20260220","189.91","6","12.03","21.21","197.99","22.66","9"
"ConfirmTicks=2","TOTAL","547.62","33","","","","",""
"ConfirmTicks=3","20260211","180.91","6","12.04","12.56","192.51","30.87","8"
"ConfirmTicks=3","20260212","176.80","21","25.44","46.02","222.56","55.48","11"
"ConfirmTicks=3","20260220","175.75","6","12.04","21.21","183.83","22.66","14"
"ConfirmTicks=3","TOTAL","533.46","33","","","","",""
"ConfirmTicks=5","20260211","180.91","6","12.04","12.68","192.51","30.87","15"
"ConfirmTicks=5","20260212","176.80","21","25.44","46.03","222.56","55.48","11"
"ConfirmTicks=5","20260220","175.78","6","12.04","20.59","183.86","22.66","9"
"ConfirmTicks=5","TOTAL","533.49","33","","","","",""
