"Scenario","Date","PnL","Trades","SpreadCost","SlipCost","PeakPnL","TroughPnL","Runtime"
"DriftDisp=0.3%","TOTAL","-268.89","70","","","","",""
"DriftDisp=0.4%","20260211","180.91","6","12.04","12.57","192.51","30.87","10"
"DriftDisp=0.4%","20260212","186.57","19","23.44","42.55","232.33","55.31","12"
"DriftDisp=0.4%","20260220","162.83","8","16.02","26.87","193.63","54.25","10"
"DriftDisp=0.4%","TOTAL","530.31","33","","","","",""
"DriftStop=0.2%","20260211","180.91","6","12.04","12.66","192.51","30.87","9"
"DriftStop=0.2%","20260212","186.57","19","23.44","42.55","232.33","55.31","14"
"DriftStop=0.2%","20260220","189.91","6","12.03","20.94","197.99","22.66","13"
"DriftStop=0.2%","TOTAL","557.39","31","","","","",""
"DriftStop=0.25%","20260211","180.91","6","12.04","12.57","192.51","30.87","8"
"DriftStop=0.25%","20260212","186.57","19","23.44","42.55","232.33","55.31","14"
"DriftStop=0.25%","20260220","189.91","6","12.03","21.21","197.99","22.66","13"
"DriftStop=0.25%","TOTAL","557.39","31","","","","",""
"DriftStop=0.3%","20260211","180.91","6","12.04","12.68","192.51","30.87","11"
"DriftStop=0.3%","20260212","186.57","19","23.44","42.55","232.33","55.31","12"
"DriftStop=0.3%","20260220","189.91","6","12.03","20.94","197.99","22.66","12"
"DriftStop=0.3%","TOTAL","557.39","31","","","","",""
"DriftStop=0.35%","20260211","180.91","6","12.04","12.68","192.51","30.87","10"
"DriftStop=0.35%","20260212","186.57","19","23.44","42.55","232.33","55.31","9"
"DriftStop=0.35%","20260220","189.91","6","12.03","20.94","197.99","22.66","12"
"DriftStop=0.35%","TOTAL","557.39","31","","","","",""
"DriftStop=0.4%","20260211","180.91","6","12.04","12.62","192.51","30.87","10"
"DriftStop=0.4%","20260212","186.57","19","23.44","42.55","232.33","55.31","14"
"DriftStop=0.4%","20260220","189.91","6","12.03","21.23","197.99","22.66","11"
"DriftStop=0.4%","TOTAL","557.39","31","","","","",""
"DriftStop=0.5%","20260211","180.91","6","12.04","12.52","192.51","30.87","11"
"DriftStop=0.5%","20260212","186.57","19","23.44","42.55","232.33","55.31","11"
"DriftStop=0.5%","20260220","189.91","6","12.03","21.21","197.99","22.66","9"
"DriftStop=0.5%","TOTAL","557.39","31","","","","",""
"DriftStop=0.6%","20260211","180.91","6","12.04","12.53","192.51","30.87","7"
"DriftStop=0.6%","20260212","186.57","19","23.44","42.55","232.33","55.31","8"
"DriftStop=0.6%","20260220","189.91","6","12.03","20.94","197.99","22.66","10"
"DriftStop=0.6%","TOTAL","557.39","31","","","","",""
"DriftMode=True","20260211","180.91","6","12.04","12.53","192.51","30.87","9"
"DriftMode=True","20260212","186.57","19","23.44","42.55","232.33","55.31","11"
"DriftMode=True","20260220","189.91","6","12.03","21.21","197.99","22.66","11"
"DriftMode=True","TOTAL","557.39","31","","","","",""
"DriftMode=False","20260211","180.91","6","12.04","12.69","192.51","30.87","11"
"DriftMode=False","20260212","186.57","19","23.44","42.55","232.33","55.31","10"
"DriftMode=False","20260220","162.83","8","16.02","27.31","193.63","54.25","8"
"DriftMode=False","TOTAL","530.31","33","","","","",""
